Timestamp,Voltage_from_PSU,Current_from_PSU,Resistance_from_PSU,Power_from_PSU
2025-10-14 19:48:53,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:48:55,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:48:56,1.499929,0.00068,2205.7779411764704,0.0010199517200000002
2025-10-14 19:48:58,1.499929,0.00068,2205.7779411764704,0.0010199517200000002
2025-10-14 19:49:00,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:01,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:03,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:04,1.499729,0.000682,2199.016129032258,0.001022815178
2025-10-14 19:49:06,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:08,1.499729,0.000682,2199.016129032258,0.001022815178
2025-10-14 19:49:09,1.499729,0.000678,2211.9896755162245,0.001016816262
2025-10-14 19:49:11,1.499729,0.000675,2221.820740740741,0.0010123170750000001
2025-10-14 19:49:12,1.499929,0.000677,2215.552437223043,0.001015451933
2025-10-14 19:49:14,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:16,1.499729,0.000682,2199.016129032258,0.001022815178
2025-10-14 19:49:17,1.499929,0.000682,2199.309384164223,0.001022951578
2025-10-14 19:49:19,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:20,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:22,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:24,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:25,1.499729,0.000677,2215.257016248154,0.001015316533
2025-10-14 19:49:27,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:28,1.499729,0.000678,2211.9896755162245,0.001016816262
2025-10-14 19:49:30,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:32,1.499729,0.000678,2211.9896755162245,0.001016816262
2025-10-14 19:49:33,1.499729,0.000682,2199.016129032258,0.001022815178
2025-10-14 19:49:35,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:36,1.499729,0.000678,2211.9896755162245,0.001016816262
2025-10-14 19:49:38,1.499929,0.00068,2205.7779411764704,0.0010199517200000002
2025-10-14 19:49:39,1.499729,0.000678,2211.9896755162245,0.001016816262
2025-10-14 19:49:41,1.499729,0.000682,2199.016129032258,0.001022815178
2025-10-14 19:49:43,1.499729,0.00068,2205.483823529412,0.00101981572
2025-10-14 19:49:44,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:46,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:47,1.499929,0.00068,2205.7779411764704,0.0010199517200000002
2025-10-14 19:49:49,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:51,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:52,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:49:54,1.499729,0.000682,2199.016129032258,0.001022815178
2025-10-14 19:49:55,1.499929,0.00068,2205.7779411764704,0.0010199517200000002
2025-10-14 19:49:57,1.499729,0.000682,2199.016129032258,0.001022815178
2025-10-14 19:49:59,1.499929,0.000678,2212.2846607669617,0.0010169518620000001
2025-10-14 19:50:00,1.499929,0.000679,2209.0265095729014,0.0010184517910000002
2025-10-14 19:50:02,1.499729,0.000677,2215.257016248154,0.001015316533
2025-10-14 19:50:03,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:50:05,1.499729,0.000678,2211.9896755162245,0.001016816262
2025-10-14 19:50:07,1.499729,0.000679,2208.7319587628867,0.001018315991
2025-10-14 19:50:08,1.499929,0.000682,2199.309384164223,0.001022951578
